pixel, count
4, 1
6, 2
8, 1
9, 4
10, 4
11, 7
12, 10
13, 20
14, 16
15, 40
16, 72
17, 103
18, 151
19, 200
20, 315
21, 400
22, 537
23, 682
24, 958
25, 1230
26, 1578
27, 1840
28, 2320
29, 2894
30, 3432
31, 4014
32, 4490
33, 5381
34, 5803
35, 6680
36, 7222
37, 7700
38, 8179
39, 8708
40, 9181
41, 9518
42, 9700
43, 9692
44, 9860
45, 10139
46, 9834
47, 9617
48, 9343
49, 8952
50, 8773
51, 8129
52, 7730
53, 7198
54, 6701
55, 6135
56, 5684
57, 5022
58, 4654
59, 4142
60, 3758
61, 3294
62, 2865
63, 2478
64, 2127
65, 1992
66, 1688
67, 1449
68, 1263
69, 1058
70, 850
71, 765
72, 635
73, 552
74, 423
75, 356
76, 304
77, 255
78, 228
79, 137
80, 138
81, 114
82, 90
83, 91
84, 47
85, 49
86, 39
87, 21
88, 18
89, 14
90, 9
91, 10
92, 11
93, 4
94, 3
95, 5
96, 2
97, 2
99, 1
106, 1
